stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,119212.0,133,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,112873.0,125,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,119626.0,117,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,114906.0,116,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,119824.0,114,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,130938.0,171,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,132468.0,90,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,130592.0,129,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,128381.0,182,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,124995.0,140,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,140227.0,163,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,143140.0,189,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,139125.0,131,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,138338.0,161,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,145738.0,156,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,155907.0,145,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,151323.0,151,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,152713.0,183,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,145090.0,195,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,145928.0,171,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,165679.0,194,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,166349.0,105,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,164084.0,129,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,164598.0,58,
HPO_epsilon,25,epsilon,0.85,5,0.85,0.35,0.81,200,166857.0,159,
recommendation,,epsilon,,,,,,,,,recommended epsilon set = [0.05]
phase_setup,,alpha,,,,,,,,,"Phase 2 fixed epsilon=0.0500, gamma=0.7268"
HPO_alpha,26,alpha,0.05,1,0.05,0.05,0.73,200,117949.0,156,
HPO_alpha,27,alpha,0.05,2,0.05,0.05,0.73,200,110958.0,131,
HPO_alpha,28,alpha,0.05,3,0.05,0.05,0.73,200,116949.0,134,
HPO_alpha,29,alpha,0.05,4,0.05,0.05,0.73,200,115761.0,134,
HPO_alpha,30,alpha,0.05,5,0.05,0.05,0.73,200,122627.0,120,
HPO_alpha,31,alpha,0.25,1,0.05,0.25,0.73,200,120717.0,121,
HPO_alpha,32,alpha,0.25,2,0.05,0.25,0.73,200,109131.0,130,
HPO_alpha,33,alpha,0.25,3,0.05,0.25,0.73,200,112792.0,123,
HPO_alpha,34,alpha,0.25,4,0.05,0.25,0.73,200,120999.0,111,
HPO_alpha,35,alpha,0.25,5,0.05,0.25,0.73,200,114713.0,128,
HPO_alpha,36,alpha,0.45,1,0.05,0.45,0.73,200,113032.0,152,
HPO_alpha,37,alpha,0.45,2,0.05,0.45,0.73,200,109568.0,101,
HPO_alpha,38,alpha,0.45,3,0.05,0.45,0.73,200,107153.0,132,
HPO_alpha,39,alpha,0.45,4,0.05,0.45,0.73,200,117217.0,152,
HPO_alpha,40,alpha,0.45,5,0.05,0.45,0.73,200,111985.0,173,
HPO_alpha,41,alpha,0.65,1,0.05,0.65,0.73,200,103902.0,116,
HPO_alpha,42,alpha,0.65,2,0.05,0.65,0.73,200,106562.0,133,
HPO_alpha,43,alpha,0.65,3,0.05,0.65,0.73,200,109413.0,132,
HPO_alpha,44,alpha,0.65,4,0.05,0.65,0.73,200,110754.0,158,
HPO_alpha,45,alpha,0.65,5,0.05,0.65,0.73,200,109662.0,123,
HPO_alpha,46,alpha,0.85,1,0.05,0.85,0.73,200,110264.0,193,
HPO_alpha,47,alpha,0.85,2,0.05,0.85,0.73,200,104683.0,181,
HPO_alpha,48,alpha,0.85,3,0.05,0.85,0.73,200,109377.0,143,
HPO_alpha,49,alpha,0.85,4,0.05,0.85,0.73,200,99811.0,180,
HPO_alpha,50,alpha,0.85,5,0.05,0.85,0.73,200,103855.0,182,
recommendation,,alpha,,,,,,,,,"recommended alpha set = [0.65, 0.85]"
phase_setup,,gamma,,,,,,,,,"Phase 3 fixed epsilon=0.0500, alpha=0.7769"
HPO_gamma,51,gamma,0.05,1,0.05,0.78,0.05,200,70266.0,149,
HPO_gamma,52,gamma,0.05,2,0.05,0.78,0.05,200,69095.0,193,
HPO_gamma,53,gamma,0.05,3,0.05,0.78,0.05,200,68530.0,172,
HPO_gamma,54,gamma,0.05,4,0.05,0.78,0.05,200,65418.0,196,
HPO_gamma,55,gamma,0.05,5,0.05,0.78,0.05,200,69330.0,179,
HPO_gamma,56,gamma,0.25,1,0.05,0.78,0.25,200,72737.0,185,
HPO_gamma,57,gamma,0.25,2,0.05,0.78,0.25,200,70501.0,136,
HPO_gamma,58,gamma,0.25,3,0.05,0.78,0.25,200,74886.0,192,
HPO_gamma,59,gamma,0.25,4,0.05,0.78,0.25,200,70613.0,134,
HPO_gamma,60,gamma,0.25,5,0.05,0.78,0.25,200,71332.0,148,
HPO_gamma,61,gamma,0.45,1,0.05,0.78,0.45,200,80815.0,192,
HPO_gamma,62,gamma,0.45,2,0.05,0.78,0.45,200,81959.0,182,
HPO_gamma,63,gamma,0.45,3,0.05,0.78,0.45,200,82257.0,141,
